cve_mun_full,Municipio,NOM_MUN_CLEAN,temp_media_anual,ZON_TER,marginacion,electricidad_pct,computadoras_pct,internet_pct,infra_adaptada_pct,material_adaptado_pct,agua_potable_pct,lavabo_manos_pct,indice_infra_sep,escuelas_infied,luz_con_pct_infied,agua_red_pct_infied,bebederos_con_pct_infied,techumbre_con_pct_infied,ambito_urbano_pct_infied,ambito_rural_pct_infied,ambito_predominante_infied,control_predominante_infied
18009,SANTIAGO IXCUINTLA,Del Nayar,27.0,Muy cálido,65.9,56.9,34.9,3.1,4.7,14.5,48.2,65.9,0.3,,,,,,,,,
18010,TEPIC,Rosamorada,23.0,Cálido,Bajo,97.4,46.2,10.3,14.1,10.3,94.9,89.7,0.5,,,,,,,,,
18010,TEPIC,Rosamorada,23.0,Cálido,89.7,97.4,46.2,10.3,14.1,10.3,94.9,89.7,0.5,,,,,,,,,
18011,TUXPAN,Ruíz,23.0,Cálido,Medio,82.8,41.4,5.2,15.5,24.1,74.1,79.3,0.5,,,,,,,,,
18011,TUXPAN,Ruíz,23.0,Cálido,79.3,82.8,41.4,5.2,15.5,24.1,74.1,79.3,0.5,,,,,,,,,
18012,XALISCO,San Blas,21.0,Semicálido,Muy bajo,98.7,57.9,22.4,18.4,10.5,93.4,92.1,0.6,,,,,,,,,
18012,XALISCO,San Blas,21.0,Semicálido,92.1,98.7,57.9,22.4,18.4,10.5,93.4,92.1,0.6,,,,,,,,,
19001,ALLENDE,Abasolo,19.0,Semicálido,Muy bajo,100.0,0.0,0.0,0.0,0.0,100.0,50.0,0.4,,,,,,,,,
19002,APODACA,Agualeguas,23.0,Cálido,Muy bajo,100.0,70.0,20.0,20.0,10.0,80.0,60.0,0.5,,,,,,,,,
19003,CADEREYTA JIMÉNEZ,Los Aldamas,23.0,Cálido,Bajo,100.0,66.7,33.3,33.3,33.3,100.0,66.7,0.6,,,,,,,,,
19004,CIÉNEGA DE FLORES,Allende,21.0,Semicálido,Muy bajo,97.6,42.9,33.3,57.1,19.0,95.2,71.4,0.6,,,,,,,,,
19005,GARCÍA,Anáhuac,23.0,Cálido,Muy bajo,100.0,34.8,4.3,8.7,0.0,60.9,69.6,0.4,,,,,,,,,
19006,GENERAL ESCOBEDO,Apodaca,23.0,Cálido,Muy bajo,92.1,49.7,46.6,71.9,39.4,94.9,79.5,0.7,,,,,,,,,
19007,GUADALUPE,Aramberri,15.0,Templado,Medio,78.8,28.3,4.0,14.1,6.1,50.5,65.7,0.4,,,,,,,,,
19008,JUÁREZ,Bustamante,19.0,Semicálido,Muy bajo,100.0,50.0,25.0,50.0,25.0,100.0,75.0,0.6,,,,,,,,,
19009,LINARES,Cadereyta Jiménez,23.0,Cálido,Muy bajo,97.0,39.4,19.7,43.2,28.8,78.0,72.0,0.5,,,,,,,,,
19010,MONTEMORELOS,El Carmen,17.0,Templado,Muy bajo,80.0,20.0,17.1,54.3,22.9,91.4,60.0,0.5,,,,,,,,,
19011,MONTERREY,Cerralvo,23.0,Cálido,Muy bajo,100.0,60.0,40.0,10.0,0.0,90.0,90.0,0.6,,,,,,,,,
19012,SABINAS HIDALGO,Ciénega de Flores,21.0,Semicálido,Muy bajo,64.9,24.3,18.9,70.3,40.5,78.4,59.5,0.5,,,,,,,,,
19013,SALINAS VICTORIA,China,23.0,Cálido,Muy bajo,90.0,50.0,15.0,40.0,15.0,75.0,65.0,0.5,,,,,,,,,
19014,SAN NICOLÁS DE LOS GARZA,Doctor Arroyo,19.0,Semicálido,Alto,89.9,43.9,3.2,20.6,8.5,32.8,67.2,0.4,,,,,,,,,
19015,SAN PEDRO GARZA GARCÍA,Doctor Coss,23.0,Cálido,Bajo,100.0,60.0,20.0,40.0,0.0,100.0,100.0,0.6,,,,,,,,,
19016,SANTA CATARINA,Doctor González,23.0,Cálido,Bajo,80.0,40.0,40.0,80.0,0.0,100.0,60.0,0.6,,,,,,,,,
20001,ACATLÁN DE PÉREZ FIGUEROA,Abejones,19.0,Semicálido,Alto,100.0,50.0,50.0,0.0,0.0,100.0,50.0,0.5,,,,,,,,,
20002,ASUNCIÓN IXTALTEPEC,Acatlán de Pérez Figueroa,23.0,Cálido,Medio,66.3,31.7,8.9,3.0,7.9,77.2,82.2,0.4,,,,,,,,,
20003,ASUNCIÓN NOCHIXTLÁN,Asunción Cacalotepec,19.0,Semicálido,Alto,50.0,10.0,0.0,0.0,0.0,40.0,30.0,0.2,,,,,,,,,
20004,CIUDAD IXTEPEC,Asunción Cuyotepeji,15.0,Templado,Medio,33.3,0.0,0.0,33.3,0.0,100.0,100.0,0.4,,,,,,,,,
20005,CONSTANCIA DEL ROSARIO,Asunción Ixtaltepec,27.0,Muy cálido,Bajo,80.6,19.4,9.7,3.2,0.0,80.6,71.0,0.4,,,,,,,,,
20006,CUILÁPAM DE GUERRERO,Asunción Nochixtlán,17.0,Templado,Medio,64.9,32.4,18.9,8.1,10.8,91.9,83.8,0.4,,,,,,,,,
20007,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,Asunción Ocotlán,21.0,Semicálido,Muy alto,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.3,,,,,,,,,
20008,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,Asunción Tlacolulita,27.0,Muy cálido,Medio,75.0,50.0,25.0,0.0,0.0,50.0,75.0,0.4,,,,,,,,,
