cve_mun_full,NOM_MUN_CLEAN,temp_media_anual,ZON_TER
07057,Motozintla,25.0,Cálido
07096,Tila,21.0,Semicálido
07097,Tonalá,27.0,Muy cálido
07099,La Trinitaria,23.0,Cálido
07101,Tuxtla Gutiérrez,25.0,Cálido
07102,Tuxtla Chico,25.0,Cálido
07103,Tuzantán,25.0,Cálido
07104,Tzimol,23.0,Cálido
07106,Venustiano Carranza,23.0,Cálido
07107,Villa Corzo,21.0,Semicálido
07108,Villaflores,19.0,Semicálido
07109,Yajalón,21.0,Semicálido
07079,San Fernando,25.0,Cálido
07087,Suchiate,27.0,Muy cálido
07121,Rincón Chamula San Pedro,21.0,Semicálido
07034,Frontera Comalapa,23.0,Cálido
07062,Ostuacán,23.0,Cálido
07119,Santiago el Pinar,15.0,Templado
07049,Larráinzar,13.0,Templado
07050,La Libertad,25.0,Cálido
07051,Mapastepec,25.0,Cálido
07072,Pueblo Nuevo Solistahuacán,21.0,Semicálido
07110,San Lucas,25.0,Cálido
07111,Zinacantán,17.0,Templado
07023,Chamula,15.0,Templado
07026,Chenalhó,15.0,Templado
07010,Bejucal de Ocampo,19.0,Semicálido
07011,Bella Vista,15.0,Templado
07024,Chanal,17.0,Templado
07029,Chicoasén,23.0,Cálido
07033,Francisco León,23.0,Cálido
07053,Mazapa de Madero,13.0,Templado
07055,Metapa,27.0,Muy cálido
07056,Mitontic,15.0,Templado
07058,Nicolás Ruíz,25.0,Cálido
07060,Ocotepec,19.0,Semicálido
07063,Osumacinta,23.0,Cálido
07073,Rayón,17.0,Templado
07085,Soyaló,21.0,Semicálido
07091,Tapilula,19.0,Semicálido
07113,Aldama,15.0,Templado
07115,Maravilla Tenejapa,23.0,Cálido
07117,Montecristo de Guerrero,15.0,Templado
07118,San Andrés Duraznal,21.0,Semicálido
08043,Matachí,11.0,Semifrio
08003,Allende,17.0,Templado
08014,Coronado,17.0,Templado
08061,Satevó,19.0,Semicálido
08062,Saucillo,17.0,Templado
08063,Temósachic,11.0,Semifrio
08067,Valle de Zaragoza,17.0,Templado
08044,Matamoros,17.0,Templado
