cve_mun_full,Municipio,Escuelas,Alumnos,Alumnos Mujeres,Alumnos Hombres,Docentes¹
24006,CIUDAD VALLES,7,1467,654,813,27
24007,EBANO,1,2951,2354,597,24
24008,HUEHUETLÁN,1,19412,15775,3637,159
24009,MATEHUALA,4,1358,468,890,46
24010,MATLAPA,1,5737,4244,1493,37
24011,MEXQUITIC DE CARMONA,2,4079,3520,559,37
24012,MOCTEZUMA,1,37,33,4,7
24013,RIOVERDE,6,12825,10533,2292,90
24014,SALINAS,1,3621,3229,392,18
24015,SAN LUIS POTOSÍ,42,19174,12774,6400,552
24016,SANTA MARÍA DEL RÍO,1,30,30,0,5
24017,SOLEDAD DE GRACIANO SÁNCHEZ,5,1095,398,697,47
24018,TAMAZUNCHALE,3,6110,4591,1519,43
24019,TIERRA NUEVA,1,6034,5275,759,33
24020,VILLA DE ARISTA,1,4415,3501,914,36
25001,AHOME,20,19259,10809,8450,229
25002,ANGOSTURA,3,4309,3559,750,33
25003,BADIRAGUATO,1,1450,1099,351,13
25004,CHOIX,1,1585,1154,431,17
25005,CONCORDIA,1,314,176,138,12
25006,COSALÁ,1,1164,887,277,15
25007,CULIACÁN,36,67692,32561,35131,884
25008,EL FUERTE,2,3803,2349,1454,70
25009,ELDORADO,2,6768,5040,1728,102
25010,ELOTA,2,1128,961,167,62
25011,ESCUINAPA,4,4538,2144,2394,55
25012,GUASAVE,11,8210,5055,3155,193
25013,JUAN JOSÉ RÍOS,1,2001,1348,653,17
25014,MAZATLÁN,23,26344,13197,13147,275
25015,MOCORITO,1,879,783,96,23
25016,NAVOLATO,4,5688,2631,3057,56
25017,ROSARIO,2,2400,1751,649,38
25018,SALVADOR ALVARADO,6,3300,2145,1155,71
25019,SAN IGNACIO,1,1024,921,103,14
25020,SINALOA,3,1490,1270,220,58
26001,AGUA PRIETA,2,2095,1536,559,52
26002,CABORCA,2,4925,3119,1806,52
26003,CAJEME,5,7890,4987,2903,88
26004,CANANEA,3,3192,1918,1274,62
26005,EMPALME,2,2565,2230,335,51
26006,GUAYMAS,5,2486,948,1538,34
26007,HERMOSILLO,17,15131,7320,7811,401
26008,HUATABAMPO,2,259,111,148,6
26009,MAGDALENA,1,8,8,0,4
26010,MOCTEZUMA,1,140,51,89,8
26011,NACOZARI DE GARCÍA,1,1046,317,729,19
26012,NAVOJOA,4,5876,3672,2204,54
26013,NOGALES,3,5029,3004,2025,31
26014,PUERTO PEÑASCO,1,707,535,172,15
26015,SAN LUIS RÍO COLORADO,5,4856,2141,2715,47
26016,SANTA ANA,1,802,394,408,16
27001,BALANCÁN,2,1504,895,609,10
27002,CÁRDENAS,19,1589,884,705,55
27003,CENTLA,9,1828,1272,556,65
27004,CENTRO,50,12684,7304,5380,266
27005,COMALCALCO,11,317,173,144,22
27006,CUNDUACÁN,1,1591,1159,432,11
27007,EMILIANO ZAPATA,9,1390,815,575,42
27008,HUIMANGUILLO,4,181,116,65,18
27009,JALAPA,2,165,88,77,6
27010,JALPA DE MÉNDEZ,3,163,88,75,10
27011,JONUTA,2,169,153,16,7
27012,MACUSPANA,18,2538,1184,1354,75
27013,NACAJUCA,4,1723,1313,410,25
27014,PARAÍSO,7,2882,1662,1220,32
27015,TACOTALPA,2,37,17,20,4
27016,TEAPA,5,164,103,61,21
27017,TENOSIQUE,1,1123,775,348,8
28001,ALTAMIRA,6,8576,4898,3678,76
28002,CIUDAD MADERO,6,3986,2384,1602,32
28003,EL MANTE,3,825,593,232,13
28004,GUSTAVO DÍAZ ORDAZ,1,97,75,22,4
28005,HIDALGO,1,50,30,20,6
28006,MATAMOROS,9,12708,6541,6167,87
28007,MIER,1,42,26,16,2
28008,NUEVO LAREDO,7,2451,1531,920,30
28009,REYNOSA,17,10429,5508,4921,108
28010,TAMPICO,9,4695,1549,3146,74
28011,VALLE HERMOSO,1,1431,702,729,10
28012,VICTORIA,17,16384,7747,8637,139
28013,XICOTÉNCATL,1,14,12,2,1
29001,APIZACO,12,2656,1360,1296,72
29002,CALPULALPAN,6,1881,1404,477,91
29003,CHIAUTEMPAN,6,2969,2116,853,45
29004,HUAMANTLA,8,1545,1112,433,59
29005,PAPALOTLA DE XICOHTÉNCATL,1,825,570,255,1
29006,SAN FRANCISCO TETLANOHCAN,1,1146,625,521,119
29007,SAN PABLO DEL MONTE,4,1516,981,535,66
29008,TEPETITLA DE LARDIZÁBAL,1,1842,1352,490,77
29009,TETLA DE LA SOLIDARIDAD,1,1406,1047,359,57
29010,TLAXCALA,9,6053,3988,2065,64
29011,TLAXCO,1,989,727,262,39
29012,TOTOLAC,1,4,4,0,4
29013,TZOMPANTEPEC,1,1982,1416,566,67
29014,XALOZTOC,3,2614,1234,1380,33
29015,ZACATELCO,4,83,73,10,13
30001,ACAYUCAN,13,1296,820,476,41
30002,AGUA DULCE,1,3,3,0,1
30003,ÁLAMO TEMAPACHE,10,302,146,156,18
30004,ALTOTONGA,4,140,101,39,10
30005,ALVARADO,2,1044,623,421,22
30006,BOCA DEL RÍO,16,1717,935,782,155
30007,CAMERINO Z. MENDOZA,3,3243,2023,1220,16
30008,CASTILLO DE TEAYO,2,24,13,11,2
30009,CATEMACO,4,90,39,51,12
30010,COATEPEC,8,336,208,128,32
30011,COATZACOALCOS,22,8241,4297,3944,131
30012,CÓRDOBA,19,3207,2071,1136,131
30013,COSAMALOAPAN DE CARPIO,6,39,25,14,12
30014,COSCOMATEPEC,5,2119,1541,578,29
30015,COSOLEACAQUE,1,1733,660,1073,10
30016,COTAXTLA,2,38,25,13,4
30017,COYUTLA,3,53,35,18,7
30018,CUITLÁHUAC,3,75,51,24,8
30019,EL HIGO,3,84,39,45,6
30020,GUTIÉRREZ ZAMORA,1,31,18,13,1
30021,HUATUSCO,4,1226,797,429,34
30022,HUAYACOCOTLA,1,61,61,0,1
30023,ISLA,5,61,40,21,12
30024,JOSÉ AZUETA,3,16,11,5,3
30025,JUAN RODRÍGUEZ CLARA,3,860,666,194,23
30026,LA ANTIGUA,5,295,192,103,24
30027,LAS CHOAPAS,3,1756,1182,574,20
30028,LERDO DE TEJADA,2,66,34,32,6
30029,MANLIO FABIO ALTAMIRANO,2,22,14,8,2
30030,MARTÍNEZ DE LA TORRE,7,2322,1607,715,69
30031,MINATITLÁN,16,1474,859,615,57
30032,MISANTLA,12,431,249,182,31
30033,NARANJOS AMATLÁN,1,757,434,323,17
30034,NOGALES,1,616,549,67,19
30035,ORIZABA,19,4337,2461,1876,94
30036,PÁNUCO,2,3611,2018,1593,55
30037,PAPANTLA,5,223,106,117,27
30038,PASO DE OVEJAS,1,17,10,7,1
30039,PEROTE,3,1772,1079,693,28
30040,PLAYA VICENTE,2,45,25,20,4
30041,POZA RICA DE HIDALGO,20,5309,2611,2698,88
30042,PUENTE NACIONAL,1,16,16,0,1
30043,RÍO BLANCO,1,2185,941,1244,9
30044,SAN ANDRÉS TUXTLA,9,1234,618,616,42
30045,SANTIAGO TUXTLA,2,16,8,8,3
30046,SOLEDAD DE DOBLADO,2,32,17,15,10
30047,TANTOYUCA,3,2806,1465,1341,44
30048,TEMPOAL,2,60,30,30,6
30049,TEPETLÁN,2,13,11,2,3
30050,TEZONAPA,1,12,10,2,2
30051,TIERRA BLANCA,5,1327,814,513,35
30052,TLACOTALPAN,1,1813,1178,635,6
30053,TLALIXCOYAN,2,67,41,26,4
30054,TLAPACOYAN,5,61,38,23,17
30055,TUXPAN,5,3421,2026,1395,53
30056,VEGA DE ALATORRE,1,1969,1337,632,15
30057,VERACRUZ,38,10448,5352,5096,272
30058,XALAPA,73,11139,6692,4447,634
30059,YECUATLA,2,24,12,12,2
30060,ZONGOLICA,1,307,248,59,6
31001,ACANCEH,1,18,18,0,2
31002,IZAMAL,5,21,17,4,7
31003,MÉRIDA,82,14700,8829,5871,642
31004,MOTUL,2,34,33,1,5
31005,MUNA,1,4,3,1,2
31006,OXKUTZCAB,2,7,7,0,8
31007,PROGRESO,3,23,12,11,6
31008,TICUL,1,44,44,0,7
31009,UMÁN,2,25,21,4,5
31010,VALLADOLID,3,170,147,23,15
32001,CALERA,1,8,8,0,2
32002,FRESNILLO,7,3763,2430,1333,47
32003,GENERAL FRANCISCO R. MURGUÍA,1,5,5,0,1
32004,GUADALUPE,7,1623,1109,514,25
32005,JALPA,3,90,71,19,10
32006,JEREZ,3,69,54,15,8
32007,JUAN ALDAMA,1,45,45,0,2
32008,LORETO,1,18,14,4,3
32009,NOCHISTLÁN DE MEJÍA,2,137,91,46,13
32010,NORIA DE ÁNGELES,1,6,5,1,2
32011,PINOS,2,58,50,8,12
32012,RÍO GRANDE,3,259,239,20,8
32013,SOMBRERETE,1,24,22,2,2
32014,TABASCO,1,5,5,0,2
32015,TLALTENANGO DE SÁNCHEZ ROMÁN,3,96,75,21,8
32016,VALPARAÍSO,3,136,125,11,7
32017,VILLA HIDALGO,1,35,29,6,2
32018,VILLANUEVA,1,13,13,0,3
32019,ZACATECAS,10,4502,2521,1981,61
