cve_mun_full,Municipio,Escuelas,Alumnos,Alumnos Mujeres,Alumnos Hombres,Docentes¹
09008,IZTACALCO,7,4685,2268,2417,81
09009,IZTAPALAPA,36,6393,4767,1626,232
09010,MIGUEL HIDALGO,11,3597,2246,1351,101
09011,MILPA ALTA,3,114,71,43,18
09012,TLÁHUAC,12,3747,2843,904,73
09013,TLALPAN,11,3534,1872,1662,106
09014,VENUSTIANO CARRANZA,12,3732,2110,1622,101
09015,XOCHIMILCO,9,944,674,270,65
10001,DURANGO,28,7508,5034,2474,186
10002,GÓMEZ PALACIO,6,5016,2155,2861,65
10003,LERDO,1,195,112,83,6
10004,NOMBRE DE DIOS,1,2322,1493,829,1
10005,SAN DIMAS,1,39,23,16,1
10006,SANTIAGO PAPASQUIARO,3,1785,1211,574,30
10007,TAMAZULA,2,696,507,189,12
10008,VICENTE GUERRERO,2,32,29,3,2
11001,ACÁMBARO,4,3154,2608,546,7
11002,APASEO EL ALTO,2,98,87,11,12
11003,APASEO EL GRANDE,1,1425,541,884,1
11004,CELAYA,11,11590,3430,8160,62
11005,COMONFORT,1,3294,2773,521,1
11006,CORONEO,1,1323,1014,309,1
11007,DOCTOR MORA,1,1357,758,599,1
11008,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,2,461,302,159,10
11009,GUANAJUATO,6,4842,3060,1782,9
11010,IRAPUATO,15,16234,4168,12066,48
11011,JERÉCUARO,1,1102,758,344,1
11012,LEÓN,27,29599,12798,16801,134
11013,MOROLEÓN,3,2478,1899,579,10
11014,OCAMPO,1,1482,1000,482,1
11015,PÉNJAMO,1,2780,1719,1061,1
11016,PURÍSIMA DEL RINCÓN,1,3878,2755,1123,1
11017,SALAMANCA,9,14032,5116,8916,50
11018,SALVATIERRA,1,2559,1463,1096,1
11019,SAN FELIPE,2,701,363,338,8
11020,SAN FRANCISCO DEL RINCÓN,3,2463,1591,872,6
11021,SAN JOSÉ ITURBIDE,2,2639,1659,980,4
11022,SAN LUIS DE LA PAZ,3,1798,1352,446,5
11023,SAN MIGUEL DE ALLENDE,2,2082,1369,713,2
11024,SANTA CATARINA,1,900,847,53,1
11025,SANTIAGO MARAVATÍO,1,482,444,38,1
11026,SILAO DE LA VICTORIA,2,20163,5818,14345,5
11027,TARANDACUAO,1,391,226,165,1
11028,TIERRA BLANCA,1,322,274,48,1
11029,URIANGATO,1,32,22,10,3
11030,VALLE DE SANTIAGO,2,55,33,22,6
11031,VICTORIA,1,647,484,163,1
11032,VILLAGRÁN,2,2158,1016,1142,4
11033,YURIRIA,1,3049,2500,549,2
12001,ACAPULCO DE JUÁREZ,45,12077,8298,3779,193
12002,ARCELIA,1,49,32,17,4
12003,ATOYAC DE ÁLVAREZ,4,108,64,44,11
12004,AYUTLA DE LOS LIBRES,6,2067,1383,684,43
12005,CHILAPA DE ÁLVAREZ,6,2048,1449,599,39
12006,CHILPANCINGO DE LOS BRAVO,21,7304,5296,2008,174
12007,COYUCA DE BENÍTEZ,1,1888,1787,101,16
12008,EDUARDO NERI,5,72,43,29,10
12009,FLORENCIO VILLARREAL,1,30,17,13,1
12010,HUAMUXTITLÁN,1,11,10,1,2
12011,HUITZUCO DE LOS FIGUEROA,1,30,24,6,3
12012,IGUALA DE LA INDEPENDENCIA,12,3143,2528,615,111
12013,JUAN R. ESCUDERO,3,60,46,14,6
12014,MARQUELIA,1,11,5,6,1
12015,OLINALÁ,2,1814,1335,479,21
12016,OMETEPEC,2,3933,2749,1184,49
12017,PETATLÁN,1,18,7,11,4
12018,PUNGARABATO,6,4698,3781,917,51
12019,SAN MARCOS,3,1988,1303,685,17
12020,TAXCO DE ALARCÓN,8,3991,3360,631,45
12021,TECOANAPA,1,70,25,45,3
12022,TÉCPAN DE GALEANA,5,1942,1656,286,27
12023,TELOLOAPAN,4,3092,2441,651,26
12024,TIXTLA DE GUERRERO,1,3,3,0,1
12025,TLAPA DE COMONFORT,5,2160,1768,392,25
12026,TLAPEHUALA,1,1309,914,395,6
12027,ZIHUATANEJO DE AZUETA,9,2299,1765,534,37
13001,ACTOPAN,1,5973,3834,2139,58
13002,AGUA BLANCA DE ITURBIDE,1,1644,915,729,6
13003,AJACUBA,1,3037,2472,565,25
13004,APAN,2,3906,2414,1492,37
13005,ATITALAQUIA,2,3348,2453,895,30
13006,ATLAPEXCO,1,2332,1380,952,21
13007,ATOTONILCO DE TULA,1,937,477,460,3
13008,ATOTONILCO EL GRANDE,1,12,7,5,2
13009,CUAUTEPEC DE HINOJOSA,2,5437,3251,2186,50
13010,FRANCISCO I. MADERO,1,9,9,0,2
13011,HUEJUTLA DE REYES,1,4897,2487,2410,40
13012,HUICHAPAN,2,5796,3397,2399,40
13013,IXMIQUILPAN,3,6140,3845,2295,44
13014,JACALA DE LEDEZMA,1,1180,766,414,8
13015,METZTITLÁN,1,759,405,354,7
13016,MINERAL DE LA REFORMA,3,9556,6250,3306,135
13017,MIXQUIAHUALA DE JUÁREZ,2,5936,3853,2083,48
13018,OMITLÁN DE JUÁREZ,1,1789,1338,451,17
13019,PACHUCA DE SOTO,19,3924,2155,1769,126
13020,SAN AGUSTÍN TLAXIACA,1,1342,959,383,11
13021,SANTIAGO DE ANAYA,1,1520,953,567,9
13022,TECOZAUTLA,1,1519,1099,420,10
13023,TENANGO DE DORIA,1,3187,1784,1403,24
13024,TEPEAPULCO,3,2954,2254,700,37
13025,TEPEJI DEL RÍO DE OCAMPO,2,718,341,377,19
13026,TEZONTEPEC DE ALDAMA,1,5641,3393,2248,31
13027,TIZAYUCA,7,2156,1236,920,45
13028,TLANCHINOL,1,1333,690,643,14
13029,TLAXCOAPAN,1,2,0,2,2
13030,TOLCAYUCA,1,2866,1875,991,19
13031,TULA DE ALLENDE,4,7816,5551,2265,54
13032,TULANCINGO DE BRAVO,16,1811,1156,655,79
13033,ZACUALTIPÁN DE ÁNGELES,1,3223,1619,1604,21
13034,ZAPOTLÁN DE JUÁREZ,1,2,2,0,1
13035,ZIMAPÁN,2,2600,1564,1036,30
14001,ACATLÁN DE JUÁREZ,1,400,279,121,6
14002,AMATITÁN,2,2217,1887,330,47
14003,AMECA,2,596,386,210,22
